"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.975899042E0;2.002198330E-2;-1.840279564E-2;5.249367088E-1;5.256406481E-1
2.985828042E0;2.522161525E-2;-3.267701849E-2;4.850680536E-1;4.868212547E-1
2.995758042E0;-2.371742131E-2;-9.406649709E-2;5.068553638E-1;5.160555995E-1
3.005687042E0;-8.724255888E-3;-9.573748514E-2;5.705759811E-1;5.786179473E-1
3.015617042E0;-1.431791252E-2;-1.072651246E-1;5.549440348E-1;5.653969326E-1
3.025546042E0;-2.964633810E-2;-1.044235240E-1;5.538523597E-1;5.643895942E-1
3.035475042E0;-2.455389749E-2;-1.093436636E-1;5.418579662E-1;5.533253891E-1
3.045405042E0;2.358566710E-2;-8.541861132E-2;5.501078027E-1;5.571994414E-1
3.055334042E0;2.105425213E-2;-7.154448420E-2;4.932611722E-1;4.988671955E-1
3.065264042E0;2.574397946E-2;-5.935581699E-2;4.603600591E-1;4.648841249E-1
3.075193042E0;4.043133094E-2;-4.543038055E-2;5.220107621E-1;5.255414805E-1
3.085123042E0;1.276093375E-2;-4.674775824E-2;5.586242723E-1;5.607220987E-1
3.095052042E0;-1.950033172E-2;-4.996460393E-2;4.863778299E-1;4.893261877E-1
3.104982042E0;2.327472770E-3;-7.938691601E-2;4.762299871E-1;4.828071046E-1
3.114911042E0;-1.071253305E-2;-1.122780888E-1;5.296747077E-1;5.415500194E-1
3.124841042E0;-3.802068153E-2;-1.088519128E-1;5.416901511E-1;5.538253614E-1
3.134770042E0;-9.838885940E-3;-9.042324319E-2;4.800634217E-1;4.886041910E-1
3.144700042E0;1.959478025E-2;-6.154691488E-2;5.656192964E-1;5.692953246E-1
3.154629042E0;2.102888298E-2;-8.113274843E-2;6.149341285E-1;6.206196252E-1
3.164558042E0;2.644268519E-3;-6.611651391E-2;6.058317679E-1;6.094345876E-1
3.174488042E0;-3.901906391E-2;-1.123060092E-2;5.610888737E-1;5.625560754E-1
3.184417042E0;-3.479950524E-2;-9.811774045E-3;5.446342242E-1;5.458330465E-1
3.194347042E0;-3.602051807E-2;-8.765853345E-2;5.565011483E-1;5.645130860E-1
3.204276042E0;-2.675784783E-2;-1.223851472E-1;5.117874902E-1;5.268970885E-1
3.214206042E0;1.768433272E-3;-8.849029988E-2;4.437311625E-1;4.524721043E-1
3.224135042E0;1.193745621E-4;-1.070929241E-1;4.879045379E-1;4.995195159E-1
3.234065042E0;-2.466859199E-2;-1.029362847E-1;5.442681885E-1;5.544657601E-1
3.243994042E0;-6.464307038E-3;-5.125946984E-2;4.491135246E-1;4.520755230E-1
3.253924042E0;-1.147765949E-2;-4.355780974E-2;5.218938178E-1;5.238341116E-1
3.263853042E0;-3.664205654E-3;-1.016466813E-1;5.708619100E-1;5.798523903E-1
3.273783208E0;2.922391560E-2;-7.493952379E-2;5.195490843E-1;5.257387378E-1
3.283712208E0;1.089146698E-2;-1.472548172E-2;5.291993290E-1;5.295161883E-1
3.293641208E0;1.665239738E-2;-1.415040806E-2;5.678371453E-1;5.682574769E-1
3.303571208E0;1.344586654E-2;-9.114157364E-2;5.552340567E-1;5.628254041E-1
3.313500208E0;1.062975612E-2;-8.780690655E-2;5.546200991E-1;5.616284349E-1
3.323430208E0;1.614911656E-2;-8.076086551E-2;5.064220852E-1;5.130754717E-1
3.333359208E0;4.886778505E-2;-1.031922466E-1;4.826245022E-1;4.959466809E-1
3.343289208E0;-3.127021267E-2;-1.126656130E-1;5.215371376E-1;5.344832574E-1
3.353218208E0;-2.048873958E-2;-7.565112993E-2;5.152560586E-1;5.211829696E-1
3.363148208E0;-1.049463519E-2;-6.544788480E-2;5.475706959E-1;5.515679740E-1
3.373077208E0;-2.642556153E-2;-6.632087409E-2;5.562567347E-1;5.608193324E-1
3.383007208E0;4.837747774E-2;-3.543383449E-2;5.006011820E-1;5.041800079E-1
3.392936208E0;1.048690590E-2;-5.403368130E-2;5.313247919E-1;5.341681836E-1
3.402866208E0;-9.660267206E-3;-7.262607291E-2;5.325608933E-1;5.375769455E-1
3.412795208E0;-3.357655552E-2;-8.940582767E-2;4.817076588E-1;4.910835526E-1
3.422724208E0;-2.754129478E-2;-7.063831195E-2;5.791848367E-1;5.841261586E-1
3.432654208E0;3.203114099E-2;-8.305136606E-2;5.928731686E-1;5.995182378E-1
3.442583208E0;-1.288465946E-3;-1.024398561E-1;4.708663362E-1;4.818824451E-1
3.452513208E0;2.522684806E-2;-6.223220855E-2;4.477645719E-1;4.527718559E-1
3.462442208E0;3.457075120E-2;-6.702546358E-2;4.534550822E-1;4.596836534E-1
3.472372208E0;-2.864394718E-2;-3.425664380E-2;4.507829046E-1;4.529892057E-1
3.482301208E0;2.288707329E-2;-1.016304553E-2;5.391232234E-1;5.397045077E-1
3.492231208E0;1.803550371E-2;-2.582422793E-2;5.662718457E-1;5.671472237E-1
3.502160208E0;-3.049303548E-2;-8.678086638E-2;5.072307551E-1;5.155034267E-1
3.512090208E0;-2.309340235E-2;-1.443472892E-1;5.633564240E-1;5.820136644E-1
3.522019208E0;-2.638763913E-2;-9.760669380E-2;5.453171790E-1;5.546117560E-1
3.531949208E0;8.395585266E-3;-1.262934262E-1;5.132943177E-1;5.286696246E-1
3.541878208E0;-7.242792996E-3;-1.425877158E-1;5.781995809E-1;5.955656724E-1
3.551807208E0;-6.226987741E-3;-5.921665326E-2;5.683850294E-1;5.714953448E-1
3.561737208E0;5.132865884E-2;-1.898313180E-2;5.063466561E-1;5.092955199E-1
3.571666208E0;-1.385211327E-2;-6.150773853E-2;5.347664630E-1;5.384702897E-1
3.581596208E0;-1.981916029E-3;-2.632577285E-2;5.343647593E-1;5.350165141E-1
3.591525208E0;-1.119653861E-2;1.640334025E-2;5.024103105E-1;5.028026970E-1
3.601455208E0;-6.750017070E-2;-4.626083136E-2;5.530606467E-1;5.590817619E-1
3.611384208E0;-3.417611896E-2;-1.537984362E-1;5.458481061E-1;5.681303733E-1
3.621314208E0;-2.041874429E-2;-1.406768458E-1;5.267242026E-1;5.455687726E-1
3.631243208E0;8.539634622E-3;-6.571671054E-2;5.568724465E-1;5.608016879E-1
3.641173208E0;-1.155681160E-2;-9.246976867E-2;5.268569344E-1;5.350349964E-1
3.651102208E0;-7.021197227E-3;-8.810774580E-2;4.888395077E-1;4.967658768E-1
3.661032208E0;5.550424690E-2;-3.932705685E-2;6.022789997E-1;6.061083503E-1
3.670961208E0;-9.362043219E-3;-6.362165317E-2;5.295454842E-1;5.334358278E-1
3.680890208E0;1.779195804E-2;-5.251574412E-2;4.536790305E-1;4.570548325E-1
3.690820208E0;-7.441653146E-3;-4.529662549E-2;5.242531693E-1;5.262590123E-1
3.700749208E0;-3.671551676E-2;-1.086136387E-1;4.753932506E-1;4.890232043E-1
3.710679208E0;2.921172552E-2;-1.436693045E-1;4.402777970E-1;4.640460457E-1
3.720608208E0;-1.028392757E-2;-4.796354055E-2;5.535605836E-1;5.557297725E-1
3.730538208E0;-5.951019719E-3;-3.004445583E-3;5.143754679E-1;5.144186654E-1
3.740467208E0;6.217141121E-3;-6.906234115E-2;4.805434781E-1;4.855206424E-1
3.750397208E0;1.567333822E-2;-5.746365800E-2;5.830732352E-1;5.861076037E-1
3.760326208E0;1.490287848E-2;-6.983987466E-2;4.353199428E-1;4.411384777E-1
3.770256208E0;1.966745246E-2;-5.557047576E-2;4.995264637E-1;5.029926187E-1
3.780185208E0;-1.781641356E-2;-6.010806128E-2;5.482390326E-1;5.518119612E-1
3.790115208E0;-2.353947409E-3;-8.779623538E-2;3.910097426E-1;4.007522163E-1
3.800044208E0;4.122601323E-2;-1.118803319E-1;4.477096081E-1;4.633148886E-1
3.809973208E0;-3.259592035E-3;-7.824670896E-2;4.998486453E-1;5.059464800E-1
3.819903208E0;1.689670364E-2;1.540273547E-2;4.025591630E-1;4.032079148E-1
3.829832208E0;-2.252651479E-2;-5.386747420E-4;4.560722959E-1;4.566285943E-1
3.839762208E0;1.421398739E-4;-3.880899355E-2;4.870233625E-1;4.885672050E-1
3.849691208E0;4.283016943E-4;-9.001320720E-2;3.594026184E-1;3.705034454E-1
3.859621208E0;1.902286545E-3;-1.121978357E-1;5.183211690E-1;5.303289614E-1
3.869550208E0;-3.753467741E-2;-7.516785756E-2;4.067808527E-1;4.153669714E-1
3.879480208E0;-2.547593031E-2;-8.973210230E-2;3.845824832E-1;3.957329397E-1
3.889409208E0;1.535358917E-2;-7.128092095E-2;5.853881478E-1;5.899118460E-1
3.899339208E0;-1.313571743E-2;-8.897488788E-2;3.686792260E-1;3.794910400E-1
3.909268208E0;-7.531588348E-3;1.510175005E-2;4.692314547E-1;4.695348185E-1
3.919197208E0;-6.419397681E-4;1.312612206E-2;5.671688086E-1;5.673210419E-1
3.929127208E0;2.153171611E-2;-6.751765296E-2;3.695627403E-1;3.762962494E-1
3.939056208E0;-1.263558178E-2;-9.328370109E-2;5.138375241E-1;5.223892303E-1
3.948986208E0;1.199684199E-4;-7.095640048E-2;5.050544214E-1;5.100145035E-1
3.958915208E0;3.715753657E-2;-5.147727862E-2;3.588108802E-1;3.643841935E-1
3.968845208E0;1.965783653E-2;-5.132627428E-2;4.808750153E-1;4.840057823E-1
3.978774208E0;1.264983893E-2;-5.221855938E-2;3.531314796E-1;3.571955183E-1
3.988704208E0;4.074218354E-2;-7.459000647E-2;3.042177665E-1;3.158671304E-1
3.998633208E0;-8.238875319E-3;-2.371557578E-2;4.256802231E-1;4.264199338E-1
4.008563208E0;6.859520344E-2;-2.955782130E-2;3.161747378E-1;3.248775640E-1
4.018492208E0;-2.436918714E-2;-5.626088575E-2;3.180750829E-1;3.239303982E-1
4.028422208E0;-1.560551052E-3;-6.186895028E-2;3.007988995E-1;3.070996260E-1
4.038351208E0;-2.601598691E-2;-5.619466603E-2;2.482131350E-1;2.558210946E-1
4.048280208E0;-5.172451534E-2;-5.240523174E-2;3.573239332E-1;3.648316421E-1
4.058210208E0;-5.816038116E-4;-3.609018445E-2;3.804157573E-1;3.821243097E-1
4.068139208E0;-3.042058026E-2;-5.463682160E-2;4.212328309E-1;4.258493769E-1
4.078069208E0;-2.830087322E-2;-8.401367158E-2;4.008558691E-1;4.105419153E-1
4.087998208E0;-2.700255609E-2;-9.506900221E-2;3.899543202E-1;4.022830161E-1
4.097928208E0;-1.039378031E-1;-1.975321010E-2;5.005777931E-1;5.116359870E-1
4.107857208E0;-3.639828475E-2;-4.887731418E-2;3.385789293E-1;3.440196482E-1
4.117787208E0;-1.306060127E-2;-7.362872422E-2;4.404409343E-1;4.467437576E-1
4.127716208E0;2.255578741E-2;-5.896259174E-2;4.582983309E-1;4.626258865E-1
4.137646208E0;2.745050762E-3;-4.954141170E-2;2.475810510E-1;2.525039873E-1
4.147575208E0;4.489138604E-2;-1.086120307E-2;3.882159430E-1;3.909537321E-1
4.157505208E0;2.571056811E-2;-1.634632990E-2;3.224289197E-1;3.238651634E-1
4.167434208E0;1.895338409E-2;-2.241354704E-2;3.215413123E-1;3.228783260E-1
4.177363208E0;6.721461187E-3;-4.122053146E-2;3.597879499E-1;3.622039193E-1
4.187293208E0;4.154687462E-2;-5.605696410E-2;2.511338192E-1;2.606467364E-1
4.197222208E0;4.279177424E-2;-6.338396385E-2;3.433660448E-1;3.517796235E-1
4.207152208E0;3.562399463E-2;-6.960086972E-2;3.004615152E-1;3.104681500E-1
4.217081208E0;4.484866482E-2;-4.376187757E-2;2.443194741E-1;2.522271002E-1
4.227011208E0;2.707854705E-4;-4.841479942E-2;2.941868681E-1;2.981442260E-1
4.236940208E0;4.822509382E-2;-7.955487728E-2;2.729070961E-1;2.883278018E-1
4.246870208E0;1.181718172E-2;-9.010559320E-3;3.483110350E-1;3.486279006E-1
4.256799208E0;-5.713548303E-2;-3.684739888E-2;2.336500597E-1;2.433403884E-1
4.266729208E0;-2.605783105E-2;-7.434646994E-2;3.030711275E-1;3.131429649E-1
4.276657542E0;-6.717609791E-2;-7.487593532E-2;3.154830122E-1;3.311322467E-1
4.286587542E0;-3.607976910E-2;1.610805586E-2;2.789092630E-1;2.816941536E-1
4.296516542E0;-4.848686635E-2;-1.803281307E-3;3.506183463E-1;3.539596768E-1
4.306445542E0;-3.819217397E-2;-1.924230963E-2;2.443504643E-1;2.480646248E-1
4.316375542E0;6.933057304E-3;-7.235549301E-2;3.080172873E-1;3.164775409E-1
4.326304542E0;-7.822567726E-2;-2.349849790E-2;2.696244693E-1;2.817246713E-1
4.336234542E0;-5.118306317E-2;2.943327561E-2;2.026007599E-1;2.110286511E-1
4.346163542E0;-3.916155324E-2;4.492678910E-2;3.412698179E-1;3.464348889E-1
4.356093542E0;-4.242106534E-2;-3.284994990E-2;2.505678087E-1;2.562477176E-1
4.366022542E0;-4.518123892E-2;-6.526793674E-2;2.810908592E-1;2.920844382E-1
4.375952542E0;-1.563926905E-3;-3.328264385E-2;2.206552076E-1;2.231566735E-1
4.385881542E0;5.217092742E-2;-3.353246614E-2;2.102886790E-1;2.192431538E-1
4.395811542E0;5.297019155E-2;-7.302397594E-2;2.761330050E-1;2.904957465E-1
4.405740542E0;2.956711746E-2;-4.817170143E-2;2.089233541E-1;2.164340434E-1
4.415669542E0;3.876340354E-2;-3.593494087E-2;2.334664571E-1;2.393752452E-1
4.425599542E0;3.869368463E-2;-4.772994429E-2;2.153131914E-1;2.239087296E-1
4.435528542E0;-7.845389682E-3;-8.807456285E-2;3.038938308E-1;3.164966653E-1
4.445458542E0;5.140565936E-3;-1.462797940E-2;2.424331623E-1;2.429284697E-1
4.455387542E0;2.692167722E-2;-1.309176967E-2;9.828877151E-2;1.027465510E-1
4.465317542E0;1.396915351E-2;-1.660594627E-2;2.184777045E-1;2.195527319E-1
4.475246542E0;3.682384099E-2;4.843833447E-3;1.823863506E-1;1.861296292E-1
4.485176542E0;3.314004717E-2;2.017654851E-2;2.824696326E-1;2.851218147E-1
4.495105542E0;-3.104126905E-3;-1.605411530E-2;2.513109899E-1;2.518423790E-1
4.505035542E0;-1.555693066E-2;-6.699988201E-2;1.782319039E-1;1.910434868E-1
4.514964542E0;-3.466372193E-2;1.233645558E-2;2.876549435E-1;2.899984970E-1
4.524893542E0;-3.527717480E-2;1.087699056E-2;2.135642892E-1;2.167313858E-1
4.534823542E0;-6.205404663E-2;-6.942384526E-2;1.609089428E-1;1.859087488E-1
4.544752542E0;-2.053313730E-3;-8.070707113E-2;1.518375725E-1;1.719665544E-1
4.554682542E0;-5.107321318E-3;-3.358129039E-2;1.819431317E-1;1.850867120E-1
4.564611542E0;5.284176751E-3;-3.812823147E-3;1.632519221E-1;1.633819152E-1
4.574541542E0;2.874806188E-2;-7.247039080E-3;1.622280747E-1;1.649148836E-1
4.584470542E0;3.078145625E-3;-4.878317401E-2;1.839674377E-1;1.903504431E-1
4.594400542E0;5.039484480E-3;9.618669748E-4;2.330729395E-1;2.331293991E-1
4.604329542E0;-3.517108209E-2;-3.032336801E-2;1.738418144E-1;1.799374561E-1
4.614259542E0;-6.285325137E-3;-5.803215355E-3;1.198685056E-1;1.201733800E-1
4.624188542E0;2.088933095E-2;-4.608366072E-2;2.437265664E-1;2.489230948E-1
4.634118542E0;1.350482520E-2;-5.464603096E-2;1.240627134E-1;1.362355528E-1
4.644047542E0;3.354320583E-2;1.063462347E-3;1.384825319E-1;1.424910146E-1
4.653976542E0;3.735357817E-2;-7.167224586E-3;1.925429642E-1;1.962637307E-1
4.663906542E0;6.391897495E-4;-3.652609438E-2;1.636729217E-1;1.677002964E-1
4.673835542E0;-1.307598447E-2;-5.542488009E-2;1.718993694E-1;1.810864210E-1
4.683765542E0;-3.455558955E-2;2.927276954E-2;9.048800111E-2;1.011882511E-1
4.693694542E0;-5.086496094E-2;-3.283065408E-3;1.071151435E-1;1.186240985E-1
4.703624542E0;-3.337510067E-2;-1.271900967E-2;1.185365099E-1;1.238005441E-1
4.713553542E0;-4.700016609E-2;-5.783948779E-2;8.307314694E-2;1.116045237E-1
4.723483542E0;5.698303515E-3;-3.949867263E-2;1.432597071E-1;1.487143553E-1
4.733412542E0;-2.996538137E-4;-9.029562771E-4;1.243954200E-1;1.243990580E-1
4.743342542E0;1.793854956E-3;5.785673708E-3;1.651259547E-1;1.652370203E-1
4.753271542E0;-1.232563138E-2;-1.224202305E-2;9.615512252E-2;9.771180023E-2
4.763200542E0;-2.929420324E-2;2.603765130E-3;8.418353319E-2;8.917285011E-2
4.773130542E0;-8.530585142E-3;-7.673739642E-3;7.386319757E-2;7.474910780E-2
4.783059542E0;-1.302753252E-2;-1.312802240E-2;1.112982416E-1;1.128244662E-1
4.792989542E0;1.103561684E-2;-1.952166036E-2;4.072000980E-2;4.648654924E-2
4.802918542E0;8.333493775E-2;3.981807679E-3;1.022882670E-1;1.319979402E-1
4.812848542E0;3.368269390E-2;-5.521686539E-2;1.357267392E-1;1.503501707E-1
4.822777542E0;-9.089149553E-3;-3.726781368E-2;4.328518331E-2;5.783692307E-2
4.832707542E0;-1.840114883E-2;1.852251738E-3;4.430552244E-2;4.801054502E-2
4.842636542E0;5.488185191E-3;1.389079168E-2;8.602014363E-2;8.730715538E-2
4.852566542E0;-2.809234918E-2;6.438807696E-3;1.562972438E-1;1.589322710E-1
4.862495542E0;-7.915300454E-3;1.189791441E-2;4.650524497E-2;4.865131199E-2
4.872425542E0;-1.425916627E-2;2.952916995E-2;3.895765901E-2;5.092145811E-2
4.882354542E0;2.000922906E-2;-2.567059234E-2;6.642436981E-2;7.396989566E-2
4.892283542E0;-2.447747027E-2;1.908823550E-3;8.129500866E-2;8.492154374E-2
4.902213542E0;-4.017821046E-2;-3.827441186E-3;7.374566853E-2;8.406760094E-2
4.912142542E0;2.840186788E-3;-1.162865013E-2;3.311921418E-2;3.521611155E-2
4.922072542E0;-3.600361140E-2;-5.539944470E-2;1.227160996E-1;1.393721623E-1
4.932001542E0;-3.001865727E-2;1.360003889E-2;4.092641652E-2;5.254571734E-2
4.941931542E0;-3.760860357E-2;3.629878387E-2;1.750890255E-2;5.512322960E-2
4.951860542E0;-1.783834747E-4;1.880537644E-2;-1.013439417E-2;2.136305102E-2
4.961790542E0;-1.897376711E-2;9.979296774E-3;5.560234308E-2;5.959203604E-2
4.971719542E0;-2.915152433E-2;1.287966192E-2;6.192142904E-2;6.964165733E-2
4.981649542E0;-2.600896568E-2;2.655600697E-2;1.956770718E-2;4.200693950E-2
4.991578542E0;-3.291687082E-2;-8.422621787E-3;9.159838736E-2;9.769711106E-2
5.001507542E0;-7.014948016E-3;-1.047426358E-2;7.307265401E-3;1.457106107E-2
5.011437542E0;-4.077296365E-2;2.397066057E-3;6.119520485E-2;7.357332117E-2
5.021366542E0;1.111195726E-2;3.787533939E-4;-3.876177728E-2;4.032486115E-2
5.031296542E0;2.429312537E-2;-1.469609946E-2;-3.950378895E-2;4.864854182E-2
5.041225542E0;6.472520549E-3;6.452987194E-3;4.480019689E-2;4.572299429E-2
5.051155542E0;5.351207312E-2;6.353438348E-3;-1.806204915E-2;5.683437136E-2
5.061084542E0;-1.319672033E-2;-1.513551772E-2;2.775322437E-2;3.425607665E-2
5.071014542E0;1.409365352E-2;8.564562947E-3;5.510825336E-2;5.752305969E-2
5.080943542E0;-3.357537466E-3;-2.539972007E-2;1.060047573E-1;1.090569915E-1
5.090873542E0;9.522738867E-5;8.450688422E-3;4.703090966E-2;4.778419892E-2
5.100802542E0;6.616226837E-2;1.778532967E-2;5.649228930E-2;8.879832464E-2
5.110732542E0;2.019288189E-2;-4.896750748E-3;2.748600662E-2;3.445593137E-2
5.120661542E0;4.659978714E-2;1.835645646E-2;7.312586367E-2;8.863346768E-2
5.130590542E0;1.073359216E-2;-1.474784732E-2;8.270243347E-2;8.469003190E-2
5.140520542E0;1.072474596E-2;3.793234974E-3;2.833911538E-2;3.053709659E-2
5.150449542E0;-2.960365342E-3;-1.884367570E-2;1.118829632E-1;1.134973362E-1
5.160379542E0;-7.477332582E-4;-1.928850263E-2;-7.245284915E-3;2.061794346E-2
5.170308542E0;-1.091023746E-2;5.585991293E-3;3.426819205E-2;3.639430679E-2
5.180238542E0;-1.712218004E-2;4.829946309E-3;1.126115263E-2;2.105495165E-2
5.190167542E0;3.157054485E-2;5.402549520E-2;3.447693765E-2;7.144307289E-2
5.200097542E0;2.985940972E-2;2.717318058E-2;5.741614938E-2;7.018960252E-2
5.210026542E0;3.178983599E-2;3.764115840E-2;1.502968311E-2;5.151059942E-2
5.219956542E0;-1.411663354E-2;-1.623815641E-2;1.237054485E-1;1.255627136E-1
5.229885542E0;-2.315893684E-2;-4.806367412E-2;1.184996724E-2;5.465230873E-2
5.239814542E0;-6.101259357E-2;-2.792191654E-2;8.533718884E-2;1.085569242E-1
5.249744542E0;-5.697472114E-2;-8.163443953E-3;-1.631957889E-3;5.757971824E-2
5.259673542E0;-2.444421880E-2;1.282747552E-2;6.286575437E-2;6.865979197E-2
5.269603542E0;-3.891681986E-2;-6.538517341E-2;3.308939338E-2;8.297377733E-2
5.279533083E0;3.588385996E-4;3.168182239E-2;-4.476160526E-2;5.484038604E-2
5.289463083E0;2.341771953E-2;7.172618642E-2;5.911184192E-2;9.585011874E-2
5.299392083E0;-5.037426534E-3;7.581719086E-2;3.963710546E-2;8.570135486E-2
5.309322083E0;-9.166706474E-2;-3.050930947E-3;4.218473732E-2;1.009540044E-1
5.319251083E0;-6.136509845E-2;-1.545565277E-2;-6.461173296E-4;6.328483213E-2
5.329181083E0;-6.915734927E-3;6.052745283E-3;8.479573667E-2;8.529232130E-2
5.339110083E0;-3.112434291E-2;-3.531235859E-2;3.723331511E-2;6.001672388E-2
5.349039083E0;-1.360084745E-2;8.612071574E-3;-2.021440923E-2;2.584130741E-2
5.358969083E0;2.965553604E-2;-8.004253507E-3;2.184812129E-2;3.769428731E-2
5.368898083E0;5.556857541E-2;4.199221775E-2;5.515970886E-2;8.884709565E-2
5.378828083E0;2.011355618E-2;9.803295583E-3;8.776787639E-2;9.057516145E-2
5.388757083E0;4.678588391E-2;3.252557561E-2;-2.766902447E-2;6.334356255E-2
5.398687083E0;7.214034288E-3;-2.885162383E-3;1.085120434E-1;1.087898433E-1
5.408616083E0;-1.296077833E-2;-5.846382424E-2;5.773774624E-2;8.318442078E-2
5.418546083E0;-1.588511477E-2;-1.097303107E-2;4.981067598E-2;5.342141634E-2
5.428475083E0;2.998285678E-2;2.064140216E-2;2.276730359E-2;4.293470969E-2
5.438405083E0;4.511155198E-2;-7.876638025E-3;-3.786832273E-2;5.942308823E-2
5.448334083E0;-2.472023935E-2;-3.916859731E-2;6.513915181E-2;7.992733167E-2
5.458263083E0;6.162597106E-2;6.128320545E-3;-3.004942596E-2;6.883519901E-2
5.468193083E0;-1.090487903E-2;4.456499264E-2;6.294820011E-2;7.789371510E-2
5.478122083E0;-3.758816344E-2;4.484507427E-2;-3.793088794E-3;5.863734509E-2
5.488052083E0;-1.497328717E-2;4.474932611E-2;8.814794540E-2;9.998380766E-2
5.497981083E0;-6.641209980E-2;9.552888572E-4;5.080645680E-3;6.661300576E-2
5.507911083E0;-3.491205957E-2;1.926219016E-3;-2.155342162E-2;4.107447147E-2
5.517840083E0;-4.420345198E-2;2.822597176E-2;4.928851962E-2;7.197227810E-2
5.527770083E0;4.007677954E-2;3.718010545E-2;-1.437830329E-3;5.468615780E-2
5.537699083E0;-1.340844207E-2;-3.144515634E-2;6.219215512E-2;7.096793878E-2
5.547629083E0;-3.405832041E-2;-2.913638324E-2;1.348426402E-2;4.680516417E-2
5.557558083E0;7.971495395E-3;4.063829497E-2;1.713865685E-1;1.763189486E-1
5.567487083E0;-2.946113896E-2;6.119842082E-3;1.332405031E-2;3.290807641E-2
5.577417083E0;-3.835093729E-2;-3.627086341E-2;3.472544432E-2;6.318406767E-2
5.587346083E0;-2.179069980E-2;-5.361297414E-2;8.669374287E-2;1.042352658E-1
5.597276083E0;1.827202358E-3;1.919494718E-2;1.021216214E-2;2.181909534E-2
5.607205083E0;2.599048072E-2;4.965747893E-4;5.581167340E-2;6.156861670E-2
5.617135083E0;4.058492999E-2;-2.105728537E-3;-6.911818206E-2;8.018038243E-2
5.627064083E0;1.353642529E-2;-2.842770070E-3;7.645000577E-2;7.769118054E-2
5.636994083E0;-7.006346213E-3;-2.071376145E-4;3.058678508E-3;7.647699488E-3
5.646923083E0;-8.535817943E-3;4.452201560E-2;1.182833254E-2;4.685060845E-2
5.656853083E0;-3.655176731E-2;4.545406178E-2;3.647434652E-2;6.879303293E-2
5.666782083E0;2.353294166E-3;2.639082313E-2;5.193029165E-2;5.829895994E-2
5.676712083E0;-1.825293105E-2;-5.648278758E-2;7.294167638E-2;9.404234651E-2
5.686641083E0;3.474961662E-2;-1.353761986E-2;-2.538393259E-2;4.511260400E-2
5.696570083E0;-6.932605058E-3;2.287503853E-2;7.942740798E-2;8.294601581E-2
5.706500083E0;2.882445941E-2;1.872614667E-2;1.072671711E-2;3.600806145E-2
5.716429083E0;2.219988384E-2;-1.638769895E-2;8.812514126E-2;9.234409587E-2
5.726359083E0;-3.033877862E-2;-1.326572433E-2;1.614474714E-2;3.683848247E-2
5.736288083E0;-4.316158779E-3;2.422194466E-2;5.267873526E-2;5.814104383E-2
5.746218083E0;7.116712409E-3;6.900445372E-3;7.039462924E-2;7.108915225E-2
5.756147083E0;4.270189614E-2;-2.837390631E-2;-5.354003012E-2;7.412870779E-2
5.766077083E0;3.199634321E-2;-2.560203373E-2;1.072379351E-1;1.148007179E-1
5.776006083E0;4.971840874E-2;-9.209657013E-3;5.500826597E-2;7.471711501E-2
5.785936083E0;3.142465225E-2;-1.925999746E-2;8.037114859E-2;8.841932931E-2
5.795865083E0;2.991743649E-2;-1.141668856E-2;-3.538617969E-2;4.772395097E-2
5.805794083E0;3.329655155E-2;1.754793271E-2;4.103575945E-2;5.568234766E-2
5.815724083E0;-8.321697931E-3;1.750729457E-2;5.935976386E-2;6.244467619E-2
5.825653083E0;-7.968896125E-3;5.548627585E-2;-2.280238688E-2;6.051593972E-2
5.835583083E0;3.259057563E-3;5.908070549E-2;3.247894406E-2;6.749839276E-2
5.845512083E0;2.357530885E-2;3.499266207E-2;3.083412230E-2;5.225920669E-2
5.855442083E0;-3.707503144E-2;-5.886830539E-3;1.115607816E-1;1.177073520E-1
5.865371083E0;1.576153524E-3;-3.873254120E-2;3.544582129E-3;3.892631591E-2
5.875301083E0;-5.046806747E-2;-4.333517700E-3;6.600687861E-2;8.320284391E-2
5.885230083E0;-5.468158934E-2;-2.094414175E-2;7.937595248E-2;9.863708795E-2
5.895160083E0;-5.472897920E-2;-1.841551334E-2;5.963750660E-2;8.301219482E-2
5.905089083E0;-9.365965879E-2;-2.850956172E-2;1.624122620E-2;9.924063795E-2
5.915018083E0;-2.241943994E-2;3.453365564E-2;-8.523486257E-3;4.204586159E-2
5.924948083E0;-4.630409618E-2;2.097542435E-2;1.191709328E-1;1.295598278E-1
5.934877083E0;4.957459008E-3;6.404309124E-3;-2.526406467E-2;2.653044551E-2
5.944807083E0;1.036760671E-2;1.050335348E-2;2.354381382E-2;2.778702706E-2
5.954736083E0;-3.446247950E-2;9.992745370E-3;5.616601467E-2;6.664937102E-2
5.964666083E0;-7.870617220E-3;9.386242926E-3;8.280885279E-2;8.370994130E-2
5.974595083E0;-2.411898798E-2;-2.883832142E-2;1.429001033E-2;4.021913424E-2
5.984525083E0;3.210680990E-3;4.638742357E-3;-9.046227336E-3;1.066117405E-2
5.994454083E0;2.913226506E-2;-2.188071951E-2;6.060112774E-2;7.071033473E-2
6.004384083E0;2.402019973E-2;-6.896206141E-3;-3.083295286E-2;3.968877217E-2
6.014313083E0;3.519905965E-2;1.048478857E-2;3.555107117E-2;5.111539154E-2
