"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.722619582E-1;-3.053879680E-3;9.283916652E-3;9.287483454E-2;9.338764469E-2
6.821919583E-1;-1.708017373E-3;-9.377545193E-3;9.481961846E-2;9.529751163E-2
6.921209582E-1;2.919043344E-2;-1.474799350E-2;7.400177658E-2;8.090641293E-2
7.020509583E-1;5.163666093E-2;-1.556375317E-2;-3.096100688E-3;5.402000559E-2
7.119799582E-1;1.207346107E-2;1.015281290E-2;-1.047528684E-2;1.893620095E-2
7.219099583E-1;1.664088339E-2;-6.553120762E-3;4.065042794E-2;4.441080593E-2
7.318389582E-1;2.176295522E-2;-2.747665107E-2;6.112913132E-2;7.046533381E-2
7.417689583E-1;5.176380132E-3;-1.219626859E-2;1.220998031E-1;1.228165534E-1
7.516979583E-1;1.107715719E-2;-1.977279827E-2;2.020142841E-1;2.032816715E-1
7.616269583E-1;1.178894378E-2;-3.838872492E-2;1.986340088E-1;2.026527642E-1
7.715569583E-1;1.248895371E-2;-3.543668501E-2;2.582200599E-1;2.609393261E-1
7.814859583E-1;1.985814935E-4;-2.651361465E-2;2.697174400E-1;2.710175431E-1
7.914159583E-1;-1.380806500E-2;-2.104749128E-2;2.545871848E-1;2.558286423E-1
8.013449583E-1;1.125332741E-2;1.732456908E-3;2.700057077E-1;2.702456679E-1
8.112749583E-1;-1.002414218E-2;-2.343278982E-2;2.674370259E-1;2.686487333E-1
8.212039582E-1;6.329160982E-3;-6.039150506E-2;2.486516762E-1;2.559586846E-1
8.311339583E-1;5.358897771E-3;-3.228050418E-2;2.074071711E-1;2.099725777E-1
8.410629582E-1;-6.877664072E-3;-1.570152819E-2;1.821969008E-1;1.830015053E-1
8.509929583E-1;-2.773341465E-2;-2.434919469E-2;1.360395652E-1;1.409566915E-1
8.609219582E-1;-4.658081566E-2;-8.672224805E-3;1.149632764E-1;1.243444200E-1
8.708519583E-1;-1.869080527E-2;1.268363401E-2;7.732416451E-2;8.055586379E-2
8.807809582E-1;-1.290662535E-2;7.439339384E-3;7.512678087E-2;7.658954205E-2
8.907109583E-1;7.301776784E-3;1.785900459E-2;1.049212682E-1;1.066805161E-1
9.006399583E-1;2.506331788E-2;2.692825533E-2;1.712246007E-1;1.751318495E-1
9.105689583E-1;1.456834465E-2;1.570057802E-2;2.299423403E-1;2.309377073E-1
9.204989583E-1;1.763982308E-2;-2.649461120E-2;2.400147539E-1;2.421161083E-1
9.304279583E-1;1.414167378E-3;-4.824216038E-2;2.625224411E-1;2.669219699E-1
9.403579583E-1;-4.181901226E-5;-7.161041155E-2;2.313509345E-1;2.421803206E-1
9.502869583E-1;2.782301637E-3;-9.303826421E-2;2.669949764E-1;2.827546237E-1
9.602169583E-1;6.160905068E-3;-7.587083906E-2;2.813042825E-1;2.914214137E-1
9.701459582E-1;-2.646120898E-3;-3.971385017E-2;2.662529647E-1;2.692115025E-1
9.800759583E-1;-5.192322931E-3;-4.762630239E-2;2.909925342E-1;2.949099521E-1
